starttime,time,duration,name,ip,song1,song2,favsong,comment
2014-01-17 00:30:56 UTC,2014-01-17 00:31:06 UTC,10.22399902,Katie,74.78.189.87,AllOfMeOutputStereoOut.mp3,RocksinMyBedOutputStereoOutk.mp3,AllOfMeOutputStereoOut.mp3,
2014-01-17 00:29:02 UTC,2014-01-17 00:37:02 UTC,480.690284,Natalya,74.71.133.37,IveFoundanewbabyOutputStereoOut.mp3,RocksinMyBedOutputStereoOut1.mp3,IveFoundanewbabyOutputStereoOut.mp3,"Maybe you could make it so that it pairs similar songs together so we are deciding between two fast songs, or two blues songs? I like both of these for different reasons!"
2014-01-17 00:31:06 UTC,2014-01-17 00:38:50 UTC,464.1756952,Katie,74.78.189.87,SexyandIknowit.mp3,15SaintJamesSweetMo.mp3,15SaintJamesSweetMo.mp3,
2014-01-17 00:38:50 UTC,2014-01-17 00:39:20 UTC,30.11763,Katie,74.78.189.87,AllOfMeOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,dark eyes!!!!
2014-01-17 00:39:20 UTC,2014-01-17 00:39:25 UTC,5.291526794,Katie,74.78.189.87,SisterKateOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,
2014-01-17 00:39:25 UTC,2014-01-17 00:43:09 UTC,224.105449,Katie,74.78.189.87,SlowBoattoChinaOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,
2014-01-17 00:43:09 UTC,2014-01-17 00:44:54 UTC,105.1822469,Katie,74.78.189.87,16TheSkyisCrying.mp3,HeyCupid.mp3,16TheSkyisCrying.mp3,neither of these
2014-01-17 00:44:54 UTC,2014-01-17 00:45:56 UTC,62.01602101,Katie,74.78.189.87,CloserWalkWithTheeOutputStereoOut.mp3,BornLoverOutputStereoOut.mp3,CloserWalkWithTheeOutputStereoOut.mp3,
2014-01-17 00:45:56 UTC,2014-01-17 00:51:02 UTC,306.5630131,Katie,74.78.189.87,CenterpieceOutputStereoOut.mp3,13MessinwiththeKid.mp3,CenterpieceOutputStereoOut.mp3,
2014-01-17 00:51:02 UTC,2014-01-17 00:54:21 UTC,199.1994131,Katie,74.78.189.87,14YouareMySunshine.mp3,01TexasMoanerBlues.mp3,01TexasMoanerBlues.mp3,
2014-01-17 00:54:21 UTC,2014-01-17 00:54:34 UTC,13.93659019,Katie,74.78.189.87,RocksinMyBedOutputStereoOutk.mp3,SweetSueOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,
2014-01-17 00:54:35 UTC,2014-01-17 00:55:24 UTC,49.23682404,Katie,74.78.189.87,14YouareMySunshine.mp3,OntheSunnySideoftheStreetOutputStereoOut.mp3,14YouareMySunshine.mp3,
2014-01-17 00:55:24 UTC,2014-01-17 00:55:35 UTC,11.684479,Katie,74.78.189.87,SummerTimeOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,SummerTimeOutputStereoOut.mp3,
2014-01-17 00:55:35 UTC,2014-01-17 00:55:51 UTC,16.22068787,Katie,74.78.189.87,BornLoverOutputStereoOut.mp3,PoisonOutputStereoOut.mp3,BornLoverOutputStereoOut.mp3,
2014-01-17 00:55:51 UTC,2014-01-17 00:55:59 UTC,8.23000288,Katie,74.78.189.87,JoshandMattDuoOutputStereoOut.mp3,ToughTruckinOutputStereoOut.mp3,ToughTruckinOutputStereoOut.mp3,
2014-01-17 00:55:59 UTC,2014-01-17 00:56:03 UTC,4.171310186,Katie,74.78.189.87,ToughTruckinOutputStereoOut.mp3,01TexasMoanerBlues.mp3,01TexasMoanerBlues.mp3,
2014-01-17 00:56:03 UTC,2014-01-17 00:56:07 UTC,4.158950806,Katie,74.78.189.87,ToughTruckinOutputStereoOut.mp3,RocksinMyBedOutputStereoOut1.mp3,RocksinMyBedOutputStereoOut1.mp3,
2014-01-17 00:56:07 UTC,2014-01-17 00:56:17 UTC,10.00304413,Katie,74.78.189.87,RocksinMyBedOutputStereoOutk.mp3,IveFoundanewbabyOutputStereoOut.mp3,IveFoundanewbabyOutputStereoOut.mp3,
2014-01-17 00:56:17 UTC,2014-01-17 00:56:26 UTC,9.176584959,Katie,74.78.189.87,BornLoverOutputStereoOut.mp3,GetonWithItOutputStereoOut.mp3,BornLoverOutputStereoOut.mp3,
2014-01-17 00:56:26 UTC,2014-01-17 00:56:30 UTC,4.525440931,Katie,74.78.189.87,RocksinMyBedOutputStereoOutk.mp3,DarkEyesOutputStereoOut.mp3,DarkEyesOutputStereoOut.mp3,
2014-01-17 00:56:30 UTC,2014-01-17 00:56:39 UTC,9.699816942,Katie,74.78.189.87,JoshandMattDuoOutputStereoOut.mp3,PelicanDragOutputStereoOut.mp3,PelicanDragOutputStereoOut.mp3,
2014-01-17 00:56:39 UTC,2014-01-17 00:56:43 UTC,4.852753878,Katie,74.78.189.87,ItsalrightwithmeOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,SweetSueOutputStereoOut.mp3,
2014-01-17 00:56:44 UTC,2014-01-17 00:56:47 UTC,3.532550812,Katie,74.78.189.87,HeyCupid.mp3,17RocksinMyBedSweetMo.mp3,17RocksinMyBedSweetMo.mp3,
